set_id,set_name,description,category,total_calories,total_protein,total_fat,total_carbs,image_path
1,鶏もも照り焼き定食,甘辛い鶏もも照り焼きにキャベツ・味噌汁・白米を合わせた定番の夜ご飯,ごはん,749,36.1,29.2,84.6,images/sets/1.jpg
2,鶏むねキャベツキムチ定食,鶏むね肉・キャベツ・キムチを炒めたピリ辛系の夜ご飯。味噌汁と白米を合わせた定食,ごはん,594,44.5,8.9,83.4,images/sets/2.jpg
3,ネギ玉豚丼定食,甘辛い豚バラ玉ねぎ丼に、きゅうり・ハム・ゆで卵のマヨ味噌サラダとねぎ豆腐味噌汁を合わせた満足感のある定食,丼,1434,52.5,87.9,114.1,images/sets/3.jpg
4,唐揚げ定食,醤油ベースで下味をつけた鶏もも唐揚げにキャベツ・味噌汁・白米を合わせた定番の定食,ごはん,884,33.8,38.7,79.1,images/sets/4.jpg
5,鶏むねネギ塩定食,鶏むね肉と白ねぎを鶏ガラベースで炒めたヘルシーな定食,ごはん,589,47.8,10.6,61.2,images/sets/5.jpg
6,豚こま生姜焼き定食,豚こまと玉ねぎを生姜ベースの甘辛ダレで炒めた定番の和風定食,ごはん,742,33.8,21.7,91.5,images/sets/6.jpg
7,豚キムチ定食,豚肉・キムチ・キャベツを炒めた主菜に春雨スープとナス焼きを合わせた中華風定食,ごはん,768,31.7,27.4,92.6,images/sets/7.jpg
8,卵チャーハン定食,卵チャーハン・もやしナムル・卵入り春雨スープを合わせた中華風定食,ごはん,793,24.6,20.2,120.5,images/sets/8.jpg
9,親子丼定食,玉ねぎたっぷりの親子丼にねぎ豆腐味噌汁ときゅうりハムのマヨ味噌ディップを合わせた定食,丼,1098,53.2,48.4,102.7,images/sets/9.jpg
10,鶏むね甘酢炒め定食,鶏むね肉と玉ねぎを甘酢ダレで炒めた主菜にねぎ豆腐味噌汁を合わせた定食,ごはん,786,45.3,12.8,108.2,images/sets/10.jpg
11,鶏むねネギポン酢定食,鶏むね肉と長ネギをポン酢でさっぱり仕上げた主菜にねぎ豆腐味噌汁と白米を合わせた定食,ごはん,702,46.8,10.9,83.4,images/sets/11.jpg
12,豚キムチ焼うどん定食,豚キムチ焼うどんともやしナムルを合わせた夏向きの一品定食,麺,911,31.8,33.5,114.6,images/sets/12.jpg
13,鶏むねふわ玉照り焼き定食,鶏むね肉を照り焼き味にし卵3個でふわとろに仕上げた主菜にねぎ豆腐味噌汁と白米を合わせた定食,ごはん,834,58.4,24.7,86.2,images/sets/13.jpg
14,ボロネーゼとマカロニサラダ,ボロネーゼとマカロニサラダを組み合わせた洋風ランチ,麺,914,35,37.7,102.3,images/sets/14.jpg
15,カルボナーラとマカロニサラダ,カルボナーラとマカロニサラダを組み合わせた洋風定食,麺,1131,48.3,48.8,119.2,images/sets/15.jpg
16,冷やし鶏ねぎうどんともやしナムル,冷やし鶏ねぎうどんともやしナムルを組み合わせた夏向け定食,麺,576,30,18.5,64.4,images/sets/16.jpg
17,サバ缶和風パスタときゅうりハムのマヨ味噌ディップ,サバ缶和風パスタときゅうりハムのマヨ味噌ディップを組み合わせた洋風定食,麺,895,38.8,32.9,103.4,images/sets/17.jpg
18,天津飯定食,天津飯とキャベツのごま油塩とネギ中華スープを組み合わせた中華定食,ごはん,525,18.3,17,71,images/sets/18.jpg
